date;isin;price
2025-04-17;US5949181045;323.775
2025-04-16;US5949181045;326.125
2025-04-15;US5949181045;341.675
2025-04-14;US5949181045;340.975
2025-04-13;US5949181045;348.55
2025-04-12;US5949181045;341.775
2025-04-11;US5949181045;341.7
2025-04-10;US5949181045;341.375
2025-04-09;US5949181045;356.925
2025-04-08;US5949181045;323.95
2025-04-07;US5949181045;330.125
2025-04-06;US5949181045;328.3
2025-04-05;US5949181045;328.3
2025-04-04;US5949181045;328.225
2025-04-03;US5949181045;336.175
2025-04-02;US5949181045;345.25
2025-04-01;US5949181045;353.525
2025-03-31;US5949181045;345.325
2025-03-30;US5949181045;347.475
2025-03-29;US5949181045;347.475
2025-03-28;US5949181045;347.475
2025-04-17;US7561091049;51.18
2025-04-16;US7561091049;50.18
2025-04-15;US7561091049;50.44
2025-04-14;US7561091049;49.6
2025-04-13;US7561091049;48.87
2025-04-12;US7561091049;48.58
2025-04-11;US7561091049;48.29
2025-04-10;US7561091049;48.32
2025-04-09;US7561091049;49.485
2025-04-08;US7561091049;47.87
2025-04-07;US7561091049;48.76
2025-04-06;US7561091049;50.1225
2025-04-05;US7561091049;50.1225
2025-04-04;US7561091049;50.265
2025-04-03;US7561091049;51.47
2025-04-02;US7561091049;52.255
2025-04-01;US7561091049;52.94
2025-03-31;US7561091049;53.68
2025-03-30;US7561091049;52.19
2025-03-29;US7561091049;52.19
2025-03-28;US7561091049;52.19
2025-04-17;US0378331005;173.74
2025-04-16;US0378331005;170.73
2025-04-15;US0378331005;179.21
2025-04-14;US0378331005;178.13
2025-04-13;US0378331005;196.53
2025-04-12;US0378331005;173.44
2025-04-11;US0378331005;174.34
2025-04-10;US0378331005;170.19
2025-04-09;US0378331005;181.51
2025-04-08;US0378331005;159.04
2025-04-07;US0378331005;166.33
2025-04-06;US0378331005;170.42
2025-04-05;US0378331005;170.42
2025-04-04;US0378331005;171.6
2025-04-03;US0378331005;184.13
2025-04-02;US0378331005;196.4
2025-04-01;US0378331005;206.75
2025-03-31;US0378331005;205.1
2025-03-30;US0378331005;199.9
2025-03-29;US0378331005;199.9
2025-03-28;US0378331005;199.9
2025-04-17;US8740541094;186.46
2025-04-16;US8740541094;185.46
2025-04-15;US8740541094;190.59
2025-04-14;US8740541094;186.37
2025-04-13;US8740541094;188.54
2025-04-12;US8740541094;187.15
2025-04-11;US8740541094;186.69
2025-04-10;US8740541094;182.51
2025-04-09;US8740541094;189.03
2025-04-08;US8740541094;179.13
2025-04-07;US8740541094;182.6
2025-04-06;US8740541094;177.57
2025-04-05;US8740541094;177.57
2025-04-04;US8740541094;177.51
2025-04-03;US8740541094;189.06
2025-04-02;US8740541094;194.34
2025-04-01;US8740541094;194.73
2025-03-31;US8740541094;191.62
2025-03-30;US8740541094;192.37
2025-03-29;US8740541094;192.37
2025-03-28;US8740541094;192.37
2025-04-17;US45781V1017;45.38
2025-04-16;US45781V1017;44.76
2025-04-15;US45781V1017;44.75
2025-04-14;US45781V1017;44.79
2025-04-13;US45781V1017;44.33
2025-04-12;US45781V1017;43.46
2025-04-11;US45781V1017;43.45
2025-04-10;US45781V1017;43.48
2025-04-09;US45781V1017;47.045
2025-04-08;US45781V1017;43.62
2025-04-07;US45781V1017;47.87
2025-04-06;US45781V1017;48.76
2025-04-05;US45781V1017;48.76
2025-04-04;US45781V1017;47.83
2025-04-03;US45781V1017;47.28
2025-04-02;US45781V1017;51.72
2025-04-01;US45781V1017;51.76
2025-03-31;US45781V1017;49.95
2025-03-28;US45781V1017;58.92
2025-04-17;IE00B9CQXS71 ;28.96
2025-04-16;IE00B9CQXS71 ;28.625
2025-04-15;IE00B9CQXS71 ;28.9875
2025-04-14;IE00B9CQXS71 ;28.625
2025-04-13;IE00B9CQXS71 ;29.785
2025-04-12;IE00B9CQXS71 ;28.6375
2025-04-11;IE00B9CQXS71 ;28.495
2025-04-10;IE00B9CQXS71 ;28.7275
2025-04-09;IE00B9CQXS71 ;29.9175
2025-04-08;IE00B9CQXS71 ;28.18
2025-04-07;IE00B9CQXS71 ;28.8
2025-04-06;IE00B9CQXS71 ;29.095
2025-04-05;IE00B9CQXS71 ;29.095
2025-04-04;IE00B9CQXS71 ;29.16
2025-04-03;IE00B9CQXS71 ;30.245
2025-04-02;IE00B9CQXS71 ;30.915
2025-04-01;IE00B9CQXS71 ;31.3375
2025-03-31;IE00B9CQXS71 ;31.3725
2025-03-30;IE00B9CQXS71 ;31.355
2025-03-29;IE00B9CQXS71 ;31.355
2025-03-28;IE00B9CQXS71 ;31.3375
2025-04-17;IE00BG0J4B71;4.8873
2025-04-16;IE00BG0J4B71;4.8629
2025-04-15;IE00BG0J4B71;4.8598
2025-04-14;IE00BG0J4B71;4.8385
2025-04-13;IE00BG0J4B71;4.8075
2025-04-12;IE00BG0J4B71;4.8075
2025-04-11;IE00BG0J4B71;4.8075
2025-04-10;IE00BG0J4B71;4.83
2025-04-09;IE00BG0J4B71;4.7741
2025-04-08;IE00BG0J4B71;4.8042
2025-04-07;IE00BG0J4B71;4.7768
2025-04-06;IE00BG0J4B71;4.8268
2025-04-05;IE00BG0J4B71;4.8268
2025-04-04;IE00BG0J4B71;4.8268
2025-04-03;IE00BG0J4B71;4.8693
2025-04-02;IE00BG0J4B71;4.8962
2025-04-01;IE00BG0J4B71;4.9047
2025-03-31;IE00BG0J4B71;4.8913
2025-03-30;IE00BG0J4B71;4.9013
2025-03-29;IE00BG0J4B71;4.9013
2025-03-28;IE00BG0J4B71;4.9013
2025-04-17;US67066G1040;89.17
2025-04-16;US67066G1040;90.39
2025-04-15;US67066G1040;99.29
2025-04-14;US67066G1040;97.33
2025-04-13;US67066G1040;104.02
2025-04-12;US67066G1040;97.47
2025-04-11;US67066G1040;97.42
2025-04-10;US67066G1040;96.02
2025-04-09;US67066G1040;104.26
2025-04-08;US67066G1040;87.94
2025-04-07;US67066G1040;90.225
2025-04-06;US67066G1040;84.55
2025-04-05;US67066G1040;84.5
2025-04-04;US67066G1040;85.8
2025-04-03;US67066G1040;92.51
2025-04-02;US67066G1040;98.465
2025-04-01;US67066G1040;101.96
2025-03-31;US67066G1040;99.81
2025-03-30;US67066G1040;100.47
2025-03-29;US67066G1040;100.47
2025-03-28;US67066G1040;100.47
2025-04-17;LU1650487926;122.6825
2025-04-16;LU1650487926;122.51
2025-04-15;LU1650487926;122.4075
2025-04-14;LU1650487926;122.4025
2025-04-13;LU1650487926;122.3475
2025-04-12;LU1650487926;122.3475
2025-04-11;LU1650487926;122.3475
2025-04-10;LU1650487926;122.27
2025-04-09;LU1650487926;122.36
2025-04-08;LU1650487926;122.2425
2025-04-07;LU1650487926;122.28
2025-04-06;LU1650487926;122.27
2025-04-05;LU1650487926;122.27
2025-04-04;LU1650487926;122.27
2025-04-03;LU1650487926;122.1225
2025-04-02;LU1650487926;121.89
2025-04-01;LU1650487926;121.8925
2025-03-31;LU1650487926;121.9125
2025-03-30;LU1650487926;121.8825
2025-03-29;LU1650487926;121.8825
2025-03-28;LU1650487926;121.8825
2025-04-17;GB00BYRJ5J14;1.1815
2025-04-16;GB00BYRJ5J14;1.206
2025-04-15;GB00BYRJ5J14;1.161
2025-04-14;GB00BYRJ5J14;1.1345
2025-04-13;GB00BYRJ5J14;1.1535
2025-04-12;GB00BYRJ5J14;1.1395
2025-04-11;GB00BYRJ5J14;1.1395
2025-04-10;GB00BYRJ5J14;1.106
2025-04-09;GB00BYRJ5J14;1.14
2025-04-08;GB00BYRJ5J14;1.1025
2025-04-07;GB00BYRJ5J14;1.0885
2025-04-06;GB00BYRJ5J14;1.1125
2025-04-05;GB00BYRJ5J14;1.118
2025-04-04;GB00BYRJ5J14;1.119
2025-04-03;GB00BYRJ5J14;1.162
2025-04-02;GB00BYRJ5J14;1.1135
2025-04-01;GB00BYRJ5J14;1.131
2025-03-31;GB00BYRJ5J14;1.1315
2025-03-30;GB00BYRJ5J14;1.138
2025-03-29;GB00BYRJ5J14;1.139
2025-03-28;GB00BYRJ5J14;1.139
2025-04-17;IE00B4ND3602 ;56.7575
2025-04-16;IE00B4ND3602 ;57.185
2025-04-15;IE00B4ND3602 ;55.695
2025-04-14;IE00B4ND3602 ;55.085
2025-04-13;IE00B4ND3602 ;55.095
2025-04-12;IE00B4ND3602 ;55.3725
2025-04-11;IE00B4ND3602 ;55.4075
2025-04-10;IE00B4ND3602 ;55.205
2025-04-09;IE00B4ND3602 ;54.625
2025-04-08;IE00B4ND3602 ;52.95
2025-04-07;IE00B4ND3602 ;53.105
2025-04-06;IE00B4ND3602 ;53.9025
2025-04-05;IE00B4ND3602 ;53.9025
2025-04-04;IE00B4ND3602 ;53.6025
2025-04-03;IE00B4ND3602 ;54.915
2025-04-02;IE00B4ND3602 ;56.1275
2025-04-01;IE00B4ND3602 ;56.005
2025-03-31;IE00B4ND3602 ;56.345
2025-03-30;IE00B4ND3602 ;55.3525
2025-03-29;IE00B4ND3602 ;55.3525
2025-03-28;IE00B4ND3602 ;55.39
2025-04-17;AU000000BHP4;20.485
2025-04-16;AU000000BHP4;19.9655
2025-04-15;AU000000BHP4;20.575
2025-04-14;AU000000BHP4;20.455
2025-04-13;AU000000BHP4;20.2875
2025-04-12;AU000000BHP4;20.089
2025-04-11;AU000000BHP4;20.089
2025-04-10;AU000000BHP4;19.467
2025-04-09;AU000000BHP4;20.46
2025-04-08;AU000000BHP4;18.794
2025-04-07;AU000000BHP4;19.253
2025-04-06;AU000000BHP4;19.601
2025-04-05;AU000000BHP4;19.601
2025-04-04;AU000000BHP4;19.601
2025-04-03;AU000000BHP4;21.1525
2025-04-02;AU000000BHP4;22.1
2025-04-01;AU000000BHP4;22.575
2025-03-31;AU000000BHP4;22.4675
2025-03-30;AU000000BHP4;22.5925
2025-03-29;AU000000BHP4;22.5925
2025-03-28;AU000000BHP4;22.5925
2025-04-17;IE00BCRY6557;101.99
2025-04-16;IE00BCRY6557;101.965
2025-04-15;IE00BCRY6557;101.915
2025-04-14;IE00BCRY6557;101.8275
2025-04-13;IE00BCRY6557;101.8425
2025-04-12;IE00BCRY6557;101.8425
2025-04-11;IE00BCRY6557;101.8425
2025-04-10;IE00BCRY6557;101.765
2025-04-09;IE00BCRY6557;101.6875
2025-04-08;IE00BCRY6557;101.665
2025-04-07;IE00BCRY6557;101.555
2025-04-06;IE00BCRY6557;101.7625
2025-04-05;IE00BCRY6557;101.7625
2025-04-04;IE00BCRY6557;101.7625
2025-04-03;IE00BCRY6557;101.8025
2025-04-02;IE00BCRY6557;101.8375
2025-04-01;IE00BCRY6557;101.8125
2025-03-31;IE00BCRY6557;101.78
2025-03-30;IE00BCRY6557;101.7725
2025-03-29;IE00BCRY6557;101.7725
2025-03-28;IE00BCRY6557;101.7725
2025-04-17;CA0194561027;9.7655
2025-04-16;CA0194561027;9.628
2025-04-15;CA0194561027;9.509
2025-04-14;CA0194561027;9.4015
2025-04-13;CA0194561027;9.1345
2025-04-12;CA0194561027;9.1345
2025-04-11;CA0194561027;9.1345
2025-04-10;CA0194561027;9.1295
2025-04-09;CA0194561027;9.8445
2025-04-08;CA0194561027;9.39
2025-04-07;CA0194561027;9.5555
2025-04-06;CA0194561027;9.955
2025-04-05;CA0194561027;9.955
2025-04-04;CA0194561027;9.955
2025-04-03;CA0194561027;10.535
2025-04-02;CA0194561027;10.752
2025-04-01;CA0194561027;10.834
2025-03-31;CA0194561027;10.548
2025-03-30;CA0194561027;10.69
2025-03-29;CA0194561027;10.69
2025-03-28;CA0194561027;10.69
2025-04-17;IE00BMZ17W23;6.3055
2025-04-16;IE00BMZ17W23;6.2665
2025-04-15;IE00BMZ17W23;6.435
2025-04-14;IE00BMZ17W23;6.4075
2025-04-13;IE00BMZ17W23;6.671
2025-04-12;IE00BMZ17W23;6.414
2025-04-11;IE00BMZ17W23;6.382
2025-04-10;IE00BMZ17W23;6.2275
2025-04-09;IE00BMZ17W23;6.557
2025-04-08;IE00BMZ17W23;5.994
2025-04-07;IE00BMZ17W23;6.1135
2025-04-06;IE00BMZ17W23;6.1835
2025-04-05;IE00BMZ17W23;6.1835
2025-04-04;IE00BMZ17W23;6.197
2025-04-03;IE00BMZ17W23;6.483
2025-04-02;IE00BMZ17W23;6.65
2025-04-01;IE00BMZ17W23;6.6945
2025-03-31;IE00BMZ17W23;6.651
2025-03-30;IE00BMZ17W23;6.686
2025-03-29;IE00BMZ17W23;6.686
2025-03-28;IE00BMZ17W23;6.682
